,image_id,asymmetry,border,colour
0,ISIC_0000000,0.224,2036.344,1649.8540037355062
1,ISIC_0000001,0.102,250.536,837.4557833645054
2,ISIC_0000002,0.204,2867.565,1204.1566236134545
3,ISIC_0000003,0.134,1818.696,1398.8554624817477
4,ISIC_0000004,0.182,1167.952,1738.086417678337
5,ISIC_0000006,0.206,444.38,1043.0615006934133
6,ISIC_0000007,0.357,655.226,935.961969712121
7,ISIC_0000008,0.169,2223.016,1460.5677113470326
8,ISIC_0000009,0.34,1480.672,982.2177696990224
9,ISIC_0000010,0.15,387.664,1140.4407439551371
10,ISIC_0000011,0.175,1574.627,1048.452056724425
11,ISIC_0000012,0.211,290.941,885.4256784639671
12,ISIC_0000013,0.28,1712.742,1675.9324528904447
13,ISIC_0000014,0.39,2375.925,863.4285701578528
14,ISIC_0000015,0.193,1952.266,1683.7054479830633
15,ISIC_0000016,0.164,1381.611,1352.8294512989598
16,ISIC_0000017,0.179,1171.475,1068.258490904069
17,ISIC_0000018,0.233,4526.455,878.555940907171
18,ISIC_0000019,0.104,2723.087,1482.1544674309962
19,ISIC_0000020,0.189,3532.818,1447.640686116504
20,ISIC_0000021,0.318,10253.817,857.2517879867966
21,ISIC_0000022,0.124,3720.886,1333.7663152469174
22,ISIC_0000023,0.146,822.496,754.6910796986878
23,ISIC_0000024,0.109,5271.869,590.6047162398037
24,ISIC_0000025,0.164,3230.015,998.1365971508458
25,ISIC_0000026,0.223,8454.733,697.428296285315
26,ISIC_0000027,0.081,2801.33,942.3536992812138
27,ISIC_0000028,0.326,3257.252,1459.6392908297814
28,ISIC_0000029,0.14,4029.453,1173.935116095571
29,ISIC_0000030,0.196,6747.325,2782.477852131162
30,ISIC_0000031,0.18,6683.281,2160.7914991372927
31,ISIC_0000032,0.108,1896.859,751.9580253485159
32,ISIC_0000034,0.107,1812.813,839.7021270567119
33,ISIC_0000035,0.089,4236.182,797.7912552554111
34,ISIC_0000036,0.179,3935.006,2362.7289062113973
35,ISIC_0000037,0.397,12795.569,2985.231853309802
36,ISIC_0000038,0.133,6368.472,2777.091099360641
37,ISIC_0000039,0.055,1924.55,1337.5792774446181
38,ISIC_0000040,0.243,2602.388,935.353054146065
39,ISIC_0000041,0.222,1118.39,849.0037162093075
40,ISIC_0000042,0.122,3595.58,2101.7772700206624
41,ISIC_0000043,0.183,4560.633,1779.0940135323665
42,ISIC_0000044,0.112,3795.018,1522.156631534086
43,ISIC_0000045,0.081,2633.93,2083.6496816601125
44,ISIC_0000046,0.193,4574.035,848.4146709883565
45,ISIC_0000047,0.228,2350.341,2293.881062410291
46,ISIC_0000048,0.13,1599.972,1598.9053311230352
47,ISIC_0000049,0.199,3177.863,2069.321110605994
48,ISIC_0000050,0.134,5526.85,915.1186170251954
49,ISIC_0000051,0.425,7823.011,1282.8899756426833
50,ISIC_0000052,0.089,4295.538,1664.0448706163977
51,ISIC_0000053,0.101,7410.669,1785.0695099372253
52,ISIC_0000054,0.188,3833.768,984.5212699781628
53,ISIC_0000055,0.359,8139.719,904.6154673494663
54,ISIC_0000056,0.193,4660.47,947.4329159126582
55,ISIC_0000057,0.14,1968.915,913.9102843036485
56,ISIC_0000059,0.159,3282.485,2234.6004508807505
57,ISIC_0000061,0.107,3248.638,1170.1194156895897
58,ISIC_0000062,0.131,1086.396,1050.690421205719
59,ISIC_0000063,0.154,4594.75,2724.2666960200236
60,ISIC_0000064,0.127,2041.988,1016.4214471707022
61,ISIC_0000065,0.2,3451.288,704.1509513534367
62,ISIC_0000066,0.17,4196.304,3054.308280080169
63,ISIC_0000067,0.093,1195.963,1280.6638747315685
64,ISIC_0000068,0.074,1574.427,1326.4477865967795
65,ISIC_0000069,0.099,916.08,802.5274402191349
66,ISIC_0000071,0.13,315.846,731.3540501909541
67,ISIC_0000072,0.143,736.812,1543.4843829886174
68,ISIC_0000073,0.147,1965.794,1387.3404226357977
69,ISIC_0000074,0.328,9395.873,2344.6182043648882
70,ISIC_0000075,0.083,2600.023,804.2793767701129
71,ISIC_0000077,0.136,2968.037,833.5534894142471
72,ISIC_0000078,0.273,1918.057,1098.0193800523257
73,ISIC_0000079,0.219,2069.349,1321.344906448356
74,ISIC_0000080,0.133,4559.758,1361.1812438208544
75,ISIC_0000081,0.34,5856.451,1110.6560520154626
76,ISIC_0000082,0.27,6940.452,1491.3958794448179
77,ISIC_0000085,0.115,4947.481,1306.2206823092831
78,ISIC_0000086,0.063,6529.326,880.5988960959276
79,ISIC_0000087,0.289,5951.213,1238.2761811754608
80,ISIC_0000088,0.286,9901.506,1828.130623198441
81,ISIC_0000089,0.176,4496.993,1745.200102437715
82,ISIC_0000091,0.148,1938.832,642.8221598886885
83,ISIC_0000092,0.1,1758.317,602.7853722098283
84,ISIC_0000093,0.175,1371.826,663.9667063354101
85,ISIC_0000094,0.147,1606.963,875.3690645944815
86,ISIC_0000095,0.23,1533.955,1474.464183777159
87,ISIC_0000096,0.097,4944.181,1154.2675131903254
88,ISIC_0000097,0.374,10366.253,979.9777850405816
89,ISIC_0000098,0.445,696.693,592.959847680387
90,ISIC_0000099,0.204,7086.627,1150.1903425258147
91,ISIC_0000100,0.134,8820.439,2405.8122950985494
92,ISIC_0000101,0.082,8062.666,660.0682853305635
93,ISIC_0000102,0.276,649.114,832.2235925999788
94,ISIC_0000103,0.123,6767.69,2044.8407988849058
95,ISIC_0000104,0.078,2559.652,646.942392593823
96,ISIC_0000105,0.292,3435.613,1226.0462426304136
97,ISIC_0000107,0.364,10821.458,1478.6431414808476
98,ISIC_0000108,0.058,2507.092,1356.308108528294
99,ISIC_0000109,0.187,27253.335,1208.103772034409
100,ISIC_0000110,0.132,1220.983,818.3390125400856
101,ISIC_0000111,0.311,13364.072,2914.7651189477733
102,ISIC_0000112,0.119,4600.944,916.0223309120173
103,ISIC_0000113,0.176,3350.796,556.5557110071596
104,ISIC_0000116,0.24,9424.258,1096.7509189919613
105,ISIC_0000118,0.204,1984.146,1128.9485254879935
106,ISIC_0000119,0.19,3954.08,1391.1142244622436
107,ISIC_0000120,0.139,6717.339,1065.072253115545
108,ISIC_0000121,0.164,4773.123,371.99497144985327
109,ISIC_0000122,0.103,2985.932,766.8448246909314
110,ISIC_0000123,0.318,4205.221,1053.106400506805
111,ISIC_0000124,0.085,6685.458,1161.9245085282716
112,ISIC_0000125,0.072,129.533,796.4158524172607
113,ISIC_0000126,0.192,3324.871,1586.0655165628996
114,ISIC_0000127,0.345,14262.152,954.686314807207
115,ISIC_0000128,0.087,3299.331,940.1520168320453
116,ISIC_0000129,0.289,2833.825,1047.8964493602273
117,ISIC_0000130,0.218,7178.466,1888.6033487291315
118,ISIC_0000131,0.044,3084.709,997.1833439219209
119,ISIC_0000132,0.156,765.02,1101.2998979848205
120,ISIC_0000133,0.148,1763.807,990.3095242702187
121,ISIC_0000134,0.097,1064.731,1386.5237867792687
122,ISIC_0000135,0.115,4072.304,1978.0617527223196
